id,type,trait_count,trait1,trait2,trait3,trait4,trait5,trait6,trait7,trait8,trait9,trait10,trait11,trait12,Rarity,TimesSold,LastPrice,TimeInDays
90,Dog,5,Camo Suit,Chestplate,Belt,Pistol,Hockey Stick,,,,,,,,2137,,,
91,Frog,2,Belt,Covered Helmet,,,,,,,,,,,6145,1.0,4999.0,177.0
92,Alien,7,Camo Suit,Chestplate,Amulet,Belt,Covered Helmet,Sword,Axe,,,,,,204,,,
93,Dog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9866,,,
94,Ape,6,Star Suit,Chestplate,Amulet,Belt,Ski Goggles,Bazooka,,,,,,,848,,,
95,Dog,4,Special Background,Belt,Covered Helmet,Jo-Jo,,,,,,,,,3339,,,
96,Bear,1,Covered Helmet,,,,,,,,,,,,2119,,,
97,Cat,4,Special Background,Belt,Covered Helmet,Wine,,,,,,,,,3406,,,
98,Lion,2,Camo Suit,Belt,,,,,,,,,,,5951,,,
99,Arcane,4,Star Suit,Chestplate,Belt,Harpoon,,,,,,,,,3680,,,
100,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,,,
101,Arcane,3,Umbrella,Covered Helmet,Watch,,,,,,,,,,3926,,,
102,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,1.0,5120.0,116.0
103,Tiger,1,Belt,,,,,,,,,,,,2280,,,
104,Dog,2,Camo Suit,Belt,,,,,,,,,,,8482,1.0,5700.0,55.0
105,Elephant,4,Star Suit,Chestplate,Belt,Binoculars,,,,,,,,,123,1.0,21000.0,265.0
106,Robot,5,Camo Suit,Belt,Jetpack,Covered Helmet,Eye Patch,,,,,,,,3113,,,
107,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
108,Alien,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,7486,4.0,4999.0,101.0
109,Tiger,4,Star Suit,Chestplate,Belt,Harpoon,,,,,,,,,4459,,,
110,Cat,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,6610,1.0,4800.0,128.0
111,Bear,2,Belt,VR,,,,,,,,,,,5725,1.0,5755.0,116.0
112,Shark,3,Chestplate,Belt,Sword,,,,,,,,,,1237,1.0,25000.0,56.0
113,Robot,3,Belt,Wool Boots,SPO,,,,,,,,,,240,,,
114,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,,,
115,Arcane,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8329,2.0,6000.0,27.0
116,Frog,4,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,,4322,,,
117,Frog,4,Star Suit,Belt,VR,Watch,,,,,,,,,3958,,,
118,Frog,3,Chestplate,Belt,Jetpack,,,,,,,,,,4727,,,
119,Robot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,6686,,,
120,Tiger,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8674,,,
121,Dog,3,Chestplate,Belt,Eye Patch,,,,,,,,,,7999,1.0,1175.0,263.0
122,Ape,4,Chestplate,Belt,X-Ray,Anchor,,,,,,,,,2991,,,
123,Rhino,2,Chestplate,Belt,,,,,,,,,,,527,1.0,30000.0,116.0
124,Robot,1,Chestplate,,,,,,,,,,,,2423,,,
125,Robot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9719,3.0,5898.0,99.0
126,Frog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7734,,,
127,Lion,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8024,,,
128,Robot,4,Belt,Snorkel,Watch,Bazooka,,,,,,,,,2311,,,
129,Bear,5,Star Suit,Chestplate,Belt,Covered Helmet,Snorkel,,,,,,,,4957,,,
130,Bear,4,Chestplate,Belt,Covered Helmet,Axe,,,,,,,,,4911,,,
131,Parrot,2,Chestplate,Covered Helmet,,,,,,,,,,,6342,,,
132,Cat,4,Camo Suit,Chestplate,Belt,Hockey Stick,,,,,,,,,5041,1.0,5969.0,64.0
133,Lion,2,Chestplate,Belt,,,,,,,,,,,6578,,,
134,Bear,2,Belt,Watch,,,,,,,,,,,6874,1.0,900.0,279.0
135,Shark,2,Special Background,Belt,,,,,,,,,,,1202,,,
136,Dog,6,Special Background,Star Suit,Chestplate,Belt,Jetpack,X-Ray,,,,,,,1167,1.0,16320.0,94.0
137,Frog,2,Chestplate,Belt,,,,,,,,,,,6242,,,
138,Dog,6,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,919,,,
139,Alien,3,Belt,X-Ray,Pistol,,,,,,,,,,4333,,,
140,Lion,5,Camo Suit,Chestplate,Belt,Covered Helmet,Lamp Fish,,,,,,,,1604,,,
141,Alien,6,Star Suit,Chestplate,Belt,Covered Helmet,VR,Bazooka,,,,,,,1131,,,
142,Ape,6,Chestplate,Amulet,Belt,Ski Goggles,Sword,Pistol,,,,,,,791,,,
143,Ape,4,Chestplate,Belt,Covered Helmet,Axe,,,,,,,,,5542,,,
144,Frog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7214,1.0,6000.0,210.0
145,Frog,3,Belt,Covered Helmet,Sword,,,,,,,,,,5025,,,
146,Tiger,2,Belt,Covered Helmet,,,,,,,,,,,8240,1.0,5699.0,26.0
147,Dog,6,Star Suit,Chestplate,Belt,VR,Flowers,Axe,,,,,,,753,,,
148,Dog,5,Special Background,Camo Suit,Belt,Covered Helmet,Flag,,,,,,,,3973,,,
149,Rhino,4,Camo Suit,Chestplate,Belt,Sword,,,,,,,,,468,,,
150,Bear,3,Chestplate,Belt,Candle,,,,,,,,,,2906,,,
151,Frog,5,Star Suit,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,1448,,,
152,Lion,1,Belt,,,,,,,,,,,,1692,2.0,8500.0,72.0
153,Dog,3,Chestplate,Belt,Axe,,,,,,,,,,5869,2.0,1395.0,262.0
154,Tiger,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,6705,2.0,5999.0,67.0
155,Alien,4,Star Suit,Chestplate,Belt,Cardano,,,,,,,,,5915,1.0,9300.0,67.0
156,Dog,6,Camo Suit,Chestplate,Belt,Jetpack,Covered Helmet,Anchor,,,,,,,959,,,
157,Cat,3,Chestplate,Belt,Hockey Stick,,,,,,,,,,5521,,,
158,Bear,1,Chestplate,,,,,,,,,,,,2154,,,
159,Bull,3,Chestplate,Belt,Sun Glasses,,,,,,,,,,77,,,
160,Dog,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,7693,1.0,1450.0,261.0
161,Alien,6,Special Background,Camo Suit,Belt,Covered Helmet,Snorkel,Bazooka,,,,,,,847,1.0,3000.0,262.0
162,Bear,2,Chestplate,Covered Helmet,,,,,,,,,,,8081,1.0,7999.0,29.0
163,Dog,5,Chestplate,Belt,Covered Helmet,Candle,Axe,,,,,,,,1076,,,
164,Dog,5,Special Background,Belt,Covered Helmet,VR,Baguette,,,,,,,,1287,,,
165,Cat,3,Belt,Covered Helmet,X-Ray,,,,,,,,,,7834,1.0,3100.0,226.0
166,Frog,5,Star Suit,Chestplate,Belt,Covered Helmet,Pistol,,,,,,,,3355,,,
167,Frog,3,Belt,Covered Helmet,Cardano,,,,,,,,,,4452,,,
168,Ape,4,Special Background,Chestplate,Belt,Covered Helmet,,,,,,,,,8443,2.0,6000.0,165.0
169,Bear,3,Belt,Covered Helmet,Bazooka,,,,,,,,,,4288,,,
170,Alien,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,8647,,,
171,Lion,7,Special Background,Camo Suit,Belt,Jetpack,Covered Helmet,X-Ray,Flag,,,,,,127,,,
172,Tiger,3,Star Suit,Chestplate,Belt,,,,,,,,,,8982,,,
173,Cat,3,Chestplate,Belt,Sword,,,,,,,,,,7830,,,
174,Elephant,2,Chestplate,Belt,,,,,,,,,,,268,,,
175,Arcane,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7918,,,
176,Dog,2,Belt,Flag,,,,,,,,,,,5609,,,
177,Cat,3,Belt,Covered Helmet,Sun Glasses,,,,,,,,,,7668,2.0,6650.0,51.0
178,Fish,2,Belt,Arc,,,,,,,,,,,327,,,
179,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,,,
180,Frog,4,Chestplate,Belt,Backpack,Binoculars,,,,,,,,,996,2.0,11000.0,260.0
181,Frog,3,Chestplate,Belt,Binoculars,,,,,,,,,,1869,,,
182,Alien,5,Star Suit,Chestplate,Amulet,Belt,VR,,,,,,,,4624,,,
183,Robot,3,Chestplate,Belt,Sword,,,,,,,,,,7304,,,
184,Cat,3,Belt,Covered Helmet,Arc,,,,,,,,,,4745,3.0,7500.0,96.0
185,Robot,1,Belt,,,,,,,,,,,,2446,,,
186,Tiger,4,Star Suit,Chestplate,Belt,Eye Patch,,,,,,,,,6124,,,
187,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,,,
188,Arcane,2,Star Suit,Belt,,,,,,,,,,,6355,1.0,7000.0,20.0
189,Wolf,4,Chestplate,Belt,Covered Helmet,Hockey Stick,,,,,,,,,444,,,
190,Cat,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,3316,,,
191,Robot,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,3063,,,
192,Cat,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,9641,3.0,1249.0,263.0
193,Robot,2,Belt,Ski Goggles,,,,,,,,,,,5919,,,
194,Alien,6,Camo Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,Binoculars,,,,,,,712,,,
195,Dog,7,Camo Suit,Chestplate,Amulet,Belt,Covered Helmet,Flag,Wool Boots,,,,,,260,,,
196,Dog,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9448,1.0,4550.0,196.0
197,Alien,4,Covered Helmet,X-Ray,Cardano,Hockey Stick,,,,,,,,,1599,,,
198,Bear,3,Chestplate,Belt,VR,,,,,,,,,,7246,1.0,3999.0,214.0
199,Cat,2,Chestplate,Wool Boots,,,,,,,,,,,7916,,,
200,Ape,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9397,,,
201,Dog,4,Star Suit,Chestplate,Belt,X-Ray,,,,,,,,,7109,,,
202,Frog,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6901,1.0,6500.0,28.0
203,Tiger,2,Belt,Covered Helmet,,,,,,,,,,,8240,,,
204,Ape,3,Chestplate,Amulet,Belt,,,,,,,,,,8462,,,
205,Robot,4,Chestplate,Belt,VR,Sword,,,,,,,,,4869,,,
206,Robot,4,Camo Suit,Belt,Covered Helmet,VR,,,,,,,,,6982,,,
207,Robot,1,Belt,,,,,,,,,,,,2446,3.0,4325.0,224.0
208,Tiger,4,Chestplate,Belt,Ski Goggles,Bazooka,,,,,,,,,2792,,,
209,Tiger,5,Star Suit,Amulet,Belt,Wool Boots,Axe,,,,,,,,2136,1.0,7488.0,44.0
210,Lion,5,Star Suit,Chestplate,Belt,Covered Helmet,Sword,,,,,,,,3852,,,
211,Dog,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,7693,,,
212,Ape,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9416,,,
213,Cat,5,Chestplate,Belt,Jetpack,Watch,Anchor,,,,,,,,1711,,,
214,Lion,3,Camo Suit,Belt,Covered Helmet,,,,,,,,,,7420,,,
215,Cat,3,Chestplate,Amulet,Belt,,,,,,,,,,8633,,,
216,Dog,5,Camo Suit,Chestplate,Belt,Covered Helmet,Binoculars,,,,,,,,2112,,,
217,Tiger,4,Special Background,Star Suit,Belt,Anchor,,,,,,,,,2979,1.0,7995.0,54.0
218,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
219,Shark,3,Covered Helmet,Watch,Pistol,,,,,,,,,,928,,,
220,Lion,7,Special Background,Camo Suit,Chestplate,Belt,Covered Helmet,Flag,Pistol,,,,,,168,1.0,12000.0,238.0
221,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,4638,,,
222,Frog,1,Belt,,,,,,,,,,,,1591,,,
223,Tiger,5,Belt,Umbrella,Covered Helmet,Sun Glasses,Watch,,,,,,,,2274,,,
224,Lion,4,Star Suit,Chestplate,Belt,Bazooka,,,,,,,,,3111,1.0,9800.0,211.0
225,Dog,5,Chestplate,Belt,Backpack,Eye Patch,Watch,,,,,,,,2942,,,
226,Bear,6,Special Background,Camo Suit,Chestplate,Belt,Covered Helmet,Wine,,,,,,,994,,,
227,Cat,2,Amulet,Belt,,,,,,,,,,,7411,1.0,6469.0,89.0
228,Robot,3,Chestplate,Covered Helmet,Flag,,,,,,,,,,6354,2.0,3750.0,154.0
229,Parrot,3,Chestplate,Covered Helmet,VR,,,,,,,,,,5493,,,
230,Lion,4,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,,5212,1.0,6600.0,31.0
231,Parrot,4,Chestplate,Amulet,Belt,Covered Helmet,,,,,,,,,5777,,,
232,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,,,
233,Tiger,1,Covered Helmet,,,,,,,,,,,,2226,,,
234,Ape,3,Chestplate,Belt,Sword,,,,,,,,,,7627,,,
235,Frog,5,Star Suit,Chestplate,Belt,Covered Helmet,VR,,,,,,,,4011,3.0,8189.0,95.0
236,Alien,1,Chestplate,,,,,,,,,,,,2549,,,
237,Elephant,3,Chestplate,Watch,Anchor,,,,,,,,,,155,1.0,66666.0,212.0
238,Ape,3,Belt,Covered Helmet,Snorkel,,,,,,,,,,7687,,,
239,Fish,3,Camo Suit,Chestplate,Belt,,,,,,,,,,432,1.0,35000.0,110.0
240,Bear,4,Star Suit,Belt,Covered Helmet,Eye Patch,,,,,,,,,5882,,,
241,Dog,1,Chestplate,,,,,,,,,,,,2696,,,
242,Tiger,4,Chestplate,Belt,Covered Helmet,VR,,,,,,,,,7129,4.0,4900.0,195.0
243,Alien,4,Amulet,Belt,Covered Helmet,Eye Patch,,,,,,,,,5544,1.0,3550.0,142.0
244,Dog,4,Star Suit,Belt,Covered Helmet,Bazooka,,,,,,,,,4581,,,
245,Robot,3,Chestplate,Belt,VR,,,,,,,,,,7884,,,
246,Tiger,6,Star Suit,Chestplate,Belt,Umbrella,X-Ray,Wool Boots,,,,,,,1013,1.0,6995.0,249.0
247,Arcane,2,Backpack,Covered Helmet,,,,,,,,,,,3905,,,
248,Dog,5,Camo Suit,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,5766,,,
249,Robot,4,Star Suit,Chestplate,Belt,Bazooka,,,,,,,,,4275,,,
250,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
251,Alien,3,Belt,Covered Helmet,Cardano,,,,,,,,,,6633,,,
252,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
253,Tiger,4,Chestplate,Belt,Umbrella,Covered Helmet,,,,,,,,,5573,,,
254,Parrot,5,Chestplate,Belt,Jetpack,Covered Helmet,Cardano,,,,,,,,1943,2.0,8750.0,186.0
255,Alien,2,Chestplate,Backpack,,,,,,,,,,,5514,,,
256,Dog,3,Chestplate,Belt,Amulet,,,,,,,,,,8697,,,
257,Tiger,5,Camo Suit,Chestplate,Belt,Covered Helmet,Pistol,,,,,,,,4540,,,
258,Ape,2,Chestplate,Lamp Fish,,,,,,,,,,,2864,,,
259,Shark,3,Camo Suit,Chestplate,Belt,,,,,,,,,,1846,,,
260,Robot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Arc,,,,,,,,3235,,,
261,Arcane,4,Camo Suit,Belt,Ski Goggles,Hockey Stick,,,,,,,,,2110,1.0,5750.0,247.0
262,Ape,4,Special Background,Chestplate,Belt,Cardano,,,,,,,,,5153,,,
263,Robot,2,Belt,Covered Helmet,,,,,,,,,,,8509,2.0,6400.0,50.0
264,Tiger,3,Belt,Umbrella,Watch,,,,,,,,,,4926,,,
265,Frog,1,Belt,,,,,,,,,,,,1591,,,
266,Arcane,4,Camo Suit,Chestplate,Belt,Watch,,,,,,,,,6359,1.0,4000.0,233.0
267,Lion,1,Belt,,,,,,,,,,,,1692,,,
268,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
269,Cat,3,Chestplate,Belt,Watch,,,,,,,,,,9230,4.0,7100.0,94.0
270,Arcane,4,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,,5411,,,
271,Bear,3,Chestplate,Belt,Wine,,,,,,,,,,3857,,,
272,Parrot,4,Camo Suit,Chestplate,Belt,Sword,,,,,,,,,4698,,,
273,Bear,4,Camo Suit,Belt,Covered Helmet,Watch,,,,,,,,,7527,,,
274,Dog,5,Chestplate,Belt,Covered Helmet,Snorkel,Sword,,,,,,,,3953,,,
275,Bear,1,Covered Helmet,,,,,,,,,,,,2119,,,
276,Ape,3,Belt,Ski Goggles,Watch,,,,,,,,,,6187,,,
277,Dog,4,Star Suit,Chestplate,Belt,Pistol,,,,,,,,,6228,4.0,2222.0,175.0
278,Lion,6,Chestplate,Belt,Umbrella,Covered Helmet,VR,Blaster,,,,,,,598,,,
279,Lion,2,Special Background,Belt,,,,,,,,,,,5151,,,
280,Robot,3,Star Suit,Belt,Binoculars,,,,,,,,,,2559,,,
281,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
282,Robot,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9190,2.0,5500.0,59.0
283,Arcane,5,Chestplate,Amulet,Belt,Covered Helmet,Harpoon,,,,,,,,2332,5.0,4600.0,135.0
284,Tiger,4,Chestplate,Belt,Jetpack,Axe,,,,,,,,,2902,,,
285,Parrot,3,Chestplate,Belt,Anchor,,,,,,,,,,3322,,,
286,Tiger,5,Amulet,Belt,Covered Helmet,Wool Boots,Bazooka,,,,,,,,1978,,,
287,Ape,3,Chestplate,Belt,Arc,,,,,,,,,,4692,3.0,5599.0,114.0
288,Ape,2,Belt,VR,,,,,,,,,,,6721,2.0,5350.0,210.0
289,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,,,
290,Tiger,5,Chestplate,Belt,Covered Helmet,Sun Glasses,Blaster,,,,,,,,1440,,,
291,Robot,3,Chestplate,Covered Helmet,Axe,,,,,,,,,,5406,,,
292,Robot,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,6032,,,
293,Ape,5,Star Suit,Chestplate,Belt,Covered Helmet,Revolver,,,,,,,,5355,5.0,4400.0,178.0
294,Dog,3,Chestplate,Belt,Wool Boots,,,,,,,,,,9174,1.0,3500.0,214.0
295,Bear,2,Chestplate,Belt,,,,,,,,,,,8152,,,
296,Tiger,4,Camo Suit,Chestplate,Belt,VR,,,,,,,,,6577,1.0,3699.0,169.0
297,Tiger,4,Camo Suit,Belt,VR,Revolver,,,,,,,,,4007,,,
298,Frog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7734,,,
299,Dog,6,Chestplate,Belt,Backpack,Covered Helmet,Ski Goggles,Flowers,,,,,,,883,,,
300,Ape,3,Belt,Covered Helmet,Watch,,,,,,,,,,9048,,,
301,Dog,2,Covered Helmet,Baguette,,,,,,,,,,,2769,1.0,1500.0,273.0
302,Bear,1,Belt,,,,,,,,,,,,2176,,,
303,Cat,5,Star Suit,Chestplate,Belt,Eye Patch,Flowers,,,,,,,,3093,,,
304,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,,,
305,Bear,4,Belt,Umbrella,Covered Helmet,Watch,,,,,,,,,4604,,,
306,Alien,7,Camo Suit,Chestplate,Belt,Backpack,Umbrella,Covered Helmet,Snorkel,,,,,,185,1.0,20000.0,95.0
